Customer_ID,Customer_Name,Email,Phone,City,Zone
CUST00001,Customer CUST00001,cust00001@maruti.com,9876543210,Delhi,North
CUST00002,Customer CUST00002,cust00002@maruti.com,9876543210,Delhi,North
CUST00003,Customer CUST00003,cust00003@maruti.com,9876543210,Delhi,North
CUST00004,Customer CUST00004,cust00004@maruti.com,9876543210,Delhi,North
CUST00005,Customer CUST00005,cust00005@maruti.com,9876543210,Delhi,North
CUST00006,Customer CUST00006,cust00006@maruti.com,9876543210,Delhi,North
CUST00007,Customer CUST00007,cust00007@maruti.com,9876543210,Delhi,North
CUST00008,Customer CUST00008,cust00008@maruti.com,9876543210,Delhi,North
CUST00009,Customer CUST00009,cust00009@maruti.com,9876543210,Delhi,North
CUST00010,Customer CUST00010,cust00010@maruti.com,9876543210,Delhi,North
CUST00011,Customer CUST00011,cust00011@maruti.com,9876543210,Delhi,North
CUST00012,Customer CUST00012,cust00012@maruti.com,9876543210,Delhi,North
CUST00013,Customer CUST00013,cust00013@maruti.com,9876543210,Delhi,North
CUST00014,Customer CUST00014,cust00014@maruti.com,9876543210,Delhi,North
CUST00015,Customer CUST00015,cust00015@maruti.com,9876543210,Delhi,North
CUST00016,Customer CUST00016,cust00016@maruti.com,9876543210,Delhi,North
CUST00017,Customer CUST00017,cust00017@maruti.com,9876543210,Delhi,North
CUST00018,Customer CUST00018,cust00018@maruti.com,9876543210,Delhi,North
CUST00019,Customer CUST00019,cust00019@maruti.com,9876543210,Delhi,North
CUST00020,Customer CUST00020,cust00020@maruti.com,9876543210,Delhi,North
CUST00021,Customer CUST00021,cust00021@maruti.com,9876543210,Delhi,North
CUST00022,Customer CUST00022,cust00022@maruti.com,9876543210,Delhi,North
CUST00023,Customer CUST00023,cust00023@maruti.com,9876543210,Delhi,North
CUST00024,Customer CUST00024,cust00024@maruti.com,9876543210,Delhi,North
CUST00025,Customer CUST00025,cust00025@maruti.com,9876543210,Delhi,North
CUST00026,Customer CUST00026,cust00026@maruti.com,9876543210,Delhi,North
CUST00027,Customer CUST00027,cust00027@maruti.com,9876543210,Delhi,North
CUST00028,Customer CUST00028,cust00028@maruti.com,9876543210,Delhi,North
CUST00029,Customer CUST00029,cust00029@maruti.com,9876543210,Delhi,North
CUST00030,Customer CUST00030,cust00030@maruti.com,9876543210,Delhi,North
CUST00031,Customer CUST00031,cust00031@maruti.com,9876543210,Delhi,North
CUST00032,Customer CUST00032,cust00032@maruti.com,9876543210,Delhi,North
CUST00033,Customer CUST00033,cust00033@maruti.com,9876543210,Delhi,North
CUST00034,Customer CUST00034,cust00034@maruti.com,9876543210,Delhi,North
CUST00035,Customer CUST00035,cust00035@maruti.com,9876543210,Delhi,North
CUST00036,Customer CUST00036,cust00036@maruti.com,9876543210,Delhi,North
CUST00037,Customer CUST00037,cust00037@maruti.com,9876543210,Delhi,North
CUST00038,Customer CUST00038,cust00038@maruti.com,9876543210,Delhi,North
CUST00039,Customer CUST00039,cust00039@maruti.com,9876543210,Delhi,North
CUST00040,Customer CUST00040,cust00040@maruti.com,9876543210,Delhi,North
CUST00041,Customer CUST00041,cust00041@maruti.com,9876543210,Delhi,North
CUST00042,Customer CUST00042,cust00042@maruti.com,9876543210,Delhi,North
CUST00043,Customer CUST00043,cust00043@maruti.com,9876543210,Delhi,North
CUST00044,Customer CUST00044,cust00044@maruti.com,9876543210,Delhi,North
