Customer_ID,Name,Contact,City,State,Ownership_History
CUST000001,Sneha Nair,9561645286,Visakhapatnam,West Bengal,1st owner
CUST000002,Pooja Patel,9183722459,Indore,Tamil Nadu,1st owner
CUST000003,Nisha Das,9874599514,Bhopal,Madhya Pradesh,1st owner
CUST000004,Ananya Singh,9761231879,Lucknow,Andhra Pradesh,1st owner
CUST000005,Rahul Khan,9748456312,Kochi,Rajasthan,2nd owner
CUST000006,Vikram Das,9758617623,Nagpur,Telangana,2nd owner
CUST000007,Sneha Khan,9100289906,Bhubaneswar,Karnataka,Fleet
CUST000008,Vikram Jain,9661646759,Pune,Gujarat,1st owner
CUST000009,Aarav Jain,9695521970,Indore,Delhi,2nd owner
CUST000010,Pooja Nair,9747742709,Chennai,West Bengal,2nd owner
CUST000011,Kabir Gupta,9132963043,Mysuru,Tamil Nadu,1st owner
CUST000012,Nisha Iyer,9107839094,Delhi,Andhra Pradesh,2nd owner
CUST000013,Pooja Patel,9201724439,Varanasi,West Bengal,1st owner
CUST000014,Rohan Nair,9202563907,Varanasi,Telangana,2nd owner
CUST000015,Pooja Reddy,9902498183,Bhopal,Tamil Nadu,1st owner
CUST000016,Nisha Sharma,9994493414,Mysuru,Tamil Nadu,1st owner
CUST000017,Arjun Singh,9989543737,Delhi,Andhra Pradesh,1st owner
CUST000018,Ananya Patel,9561143566,Madurai,Gujarat,2nd owner
CUST000019,Meera Verma,9282572295,Kochi,Andhra Pradesh,1st owner
CUST000020,Pooja Gupta,9259909852,Bhubaneswar,Madhya Pradesh,2nd owner
CUST000021,Priya Sharma,9133613481,Coimbatore,Haryana,1st owner
CUST000022,Rohan Jain,9805389990,Gurugram,Madhya Pradesh,1st owner
CUST000023,Meera Nair,9535768317,Siliguri,Gujarat,1st owner
CUST000024,Ishita Nair,9549773858,Bhopal,Assam,1st owner
CUST000025,Aarav Gupta,9387348904,Chennai,Jharkhand,1st owner
CUST000026,Ishita Verma,9447921967,Delhi,Punjab,1st owner
CUST000027,Arjun Singh,9384685773,Indore,Madhya Pradesh,1st owner
CUST000028,Ishita Menon,9957149023,Bhubaneswar,Delhi,Fleet
CUST000029,Arjun Khan,9159166534,Guwahati,Andhra Pradesh,1st owner
CUST000030,Aarav Menon,9924414763,Kochi,West Bengal,2nd owner
CUST000031,Kabir Nair,9309044719,Coimbatore,Assam,1st owner
CUST000032,Sneha Gupta,9871639074,Varanasi,Madhya Pradesh,2nd owner
CUST000033,Saanvi Nair,9103969306,Vijayawada,Gujarat,2nd owner
CUST000034,Ishita Gupta,9384392896,Nagpur,Telangana,2nd owner
CUST000035,Meera Iyer,9980920133,Hyderabad,Tamil Nadu,1st owner
CUST000036,Meera Menon,9498290684,Coimbatore,Andhra Pradesh,Fleet
CUST000037,Karan Patel,9140107073,Jaipur,Madhya Pradesh,1st owner
CUST000038,Nisha Singh,9666529350,Bengaluru,Madhya Pradesh,1st owner
CUST000039,Ananya Das,9931902151,Lucknow,Chhattisgarh,2nd owner
CUST000040,Nisha Sharma,9424144062,Patna,West Bengal,Corporate
CUST000041,Saanvi Patel,9286778604,Siliguri,Karnataka,1st owner
CUST000042,Ishita Iyer,9495753948,Raipur,Bihar,1st owner
CUST000043,Sneha Reddy,9857274908,Bhopal,Chhattisgarh,1st owner
CUST000044,Saanvi Patel,9162818334,Coimbatore,Chhattisgarh,Fleet
CUST000045,Kabir Gupta,9366864853,Coimbatore,Uttar Pradesh,1st owner
CUST000046,Ananya Khan,9463753140,Surat,Delhi,1st owner
CUST000047,Karan Singh,9287369161,Surat,Haryana,1st owner
CUST000048,Kabir Verma,9211967811,Madurai,Chhattisgarh,1st owner
CUST000049,Aditya Verma,9103968024,Kolkata,Tamil Nadu,1st owner
CUST000050,Kabir Verma,9136970231,Bhopal,Madhya Pradesh,2nd owner
CUST000051,Sneha Nair,9186441332,Hyderabad,Assam,1st owner
CUST000052,Ishita Das,9108292748,Kolkata,Tamil Nadu,1st owner
CUST000053,Arjun Verma,9756755623,Bhopal,Rajasthan,1st owner
CUST000054,Arjun Patel,9500466887,Gurugram,Rajasthan,2nd owner
CUST000055,Aarav Nair,9170376278,Raipur,Andhra Pradesh,2nd owner
CUST000056,Karan Sharma,9734180486,Chennai,Madhya Pradesh,2nd owner
CUST000057,Sneha Patel,9506512919,Vijayawada,Tamil Nadu,2nd owner
CUST000058,Sneha Nair,9300813102,Kochi,Rajasthan,Fleet
CUST000059,Kabir Iyer,9451117307,Ranchi,Rajasthan,1st owner
CUST000060,Arjun Patel,9437307314,Kochi,Karnataka,Fleet
CUST000061,Arjun Singh,9248425251,Vijayawada,Karnataka,1st owner
CUST000062,Ishita Reddy,9510028954,Surat,Bihar,1st owner
CUST000063,Rohan Verma,9287886121,Ranchi,Madhya Pradesh,1st owner
CUST000064,Ananya Khan,9343745246,Siliguri,Maharashtra,1st owner
CUST000065,Karan Nair,9574235723,Mumbai,Tamil Nadu,1st owner
CUST000066,Rahul Jain,9601303128,Ludhiana,Maharashtra,Fleet
CUST000067,Nisha Jain,9135253827,Chennai,Gujarat,1st owner
CUST000068,Rahul Nair,9549112133,Nagpur,Rajasthan,2nd owner
CUST000069,Ishita Jain,9588694264,Siliguri,Chhattisgarh,2nd owner
CUST000070,Karan Patel,9716063085,Siliguri,Bihar,1st owner
CUST000071,Priya Menon,9745517708,Patna,Jharkhand,1st owner
CUST000072,Sneha Verma,9152142430,Nagpur,Assam,1st owner
CUST000073,Nisha Gupta,9340641557,Pune,Rajasthan,1st owner
CUST000074,Kabir Iyer,9794173172,Gurugram,Jharkhand,2nd owner
CUST000075,Rohan Iyer,9528936162,Indore,West Bengal,1st owner
CUST000076,Ishita Das,9282771598,Gurugram,Madhya Pradesh,1st owner
CUST000077,Arjun Verma,9875741122,Ahmedabad,Karnataka,2nd owner
CUST000078,Sneha Menon,9813038244,Kochi,Madhya Pradesh,Corporate
CUST000079,Ishita Reddy,9643968812,Bhopal,Telangana,1st owner
CUST000080,Karan Khan,9256291993,Pune,West Bengal,2nd owner
CUST000081,Vikram Iyer,9276138233,Ahmedabad,Tamil Nadu,1st owner
CUST000082,Arjun Iyer,9223166830,Hyderabad,Odisha,2nd owner
CUST000083,Rohan Khan,9196170192,Kolkata,Maharashtra,1st owner
CUST000084,Nisha Iyer,9634175158,Indore,Andhra Pradesh,Corporate
